Product Type,Comment,Total Thickness (mm),Outer Lite (Name_Thickness mm),Outer Lite NFRC ID,Outer Lite Low-E,Middle Lite (Name_Thickness mm),Middle Lite NFRC ID,Middle Lite Low-E,Inner Lite (Name_Thickness mm),Inner Lite NFRC ID,Inner Lite Low-E,Gas Fill,U-value NFRC (W/m²K),U-value NFRC (BTU/hrftF),R-value NFRC,SHGC,Tvis (Visible Transmittance),Exterior Visible Reflectance,Exterior Reflected Color L*,Exterior Reflected Color a*,Exterior Reflected Color b*,Interior Reflected Color L*,Interior Reflected Color a*,Interior Reflected Color b*,T-UV,NFRC,CEN,g-factor,U-value CEN (W/m�K)
EnthermalPlus,C180 4mm / Vacuum 0.25mm / Clear 4mm / Argon 13.45mm / C180 4mm,25.4,4mm Clear,2192,LoE 180 S2,Float Glass - 4mm,2002,,4mm Clear,2192,LoE 180 S5,Ar90,0.3656,0.0644,15.53,0.5642,0.6906,0.202,52.26,-1.84,-7.04,52.26,-1.84,-7.04,0.1252,Yes,No,,
EnthermalPlus,C180 4mm / Vacuum 0.25mm / Clear 4mm / Argon 13.45mm / C270 4mm,25.4,4mm Clear,2192,LoE 180 S2,Float Glass - 4mm,2002,,4mm Clear,2027,LoE² 270 S5,Ar90,0.3565,0.0628,15.93,0.4488,0.6065,0.1919,51.04,-5.7,-2.9,47.03,-3.52,-3.7,0.063,Yes,No,,
EnthermalPlus,C180 4mm / Vacuum 0.25mm / Clear 4mm / Argon 13.45mm / C272 4mm,25.4,4mm Clear,2192,LoE 180 S2,Float Glass - 4mm,2002,,4 mm Clear,2012,LoE² 272 S5,Ar90,0.3585,0.0631,15.84,0.4736,0.6258,0.1801,49.63,-2.45,-4.05,45.36,-1.4,-4.24,0.0765,Yes,No,,
EnthermalPlus,C180 4mm / Vacuum 0.25mm / Clear 4mm / Argon 13.45mm / C366 4mm,25.4,4mm Clear,2192,LoE 180 S2,Float Glass - 4mm,2002,,4mm Clear,2155,LoE³ 366 S5,Ar90,0.3518,0.0619,16.14,0.4017,0.5637,0.1835,50.01,-1.04,-4.89,44.91,-2.09,-4.61,0.0231,Yes,No,,
EnthermalPlus,C180 4mm / Vacuum 0.25mm / Clear 4mm / Argon 13.44mm / SB60 4mm,25.39,4mm Clear,2192,LoE 180 S2,Float Glass - 4mm,2002,,Clear  4mm,5282,Solarban® 60 S5,Ar90,0.3563,0.0628,15.94,0.4655,0.6337,0.1818,49.8,-2.68,-3.5,45.63,-1.87,-4.38,0.0902,Yes,No,,
EnthermalPlus,C180 4mm / Vacuum 0.25mm / Clear 4mm / Argon 13.44mm / SB70 4mm,25.39,4mm Clear,2192,LoE 180 S2,Float Glass - 4mm,2002,,Solarban® 70 glass  4mm,5433,Solarban® 70 S5,Ar90,0.3511,0.0618,16.17,0.382,0.5802,0.1974,51.69,-2.27,-6.91,48.28,-3.86,-5.17,0.0334,Yes,No,,
EnthermalPlus,C180 4mm / Vacuum 0.25mm / Clear 4mm / Argon 13.35mm / LUMI 4mm,25.4,4mm Clear,2192,LoE 180 S2,Float Glass - 4mm,2002,,SGG ECLAZ II 4mm,20754,ECLAZ II S5,Ar90,0.3602,0.0634,15.77,0.5618,0.7236,0.1792,49.58,-1.34,-6.26,48.22,-1.43,-6.02,0.1847,Yes,No,,
EnthermalPlus,C270 4mm / Vacuum 0.25mm / Clear 4mm / Argon 13.45mm / C180 4mm,25.4,4mm Clear,2027,LoE² 270 S2,Float Glass - 4mm,2002,,4mm Clear,2192,LoE 180 S5,Ar90,0.2869,0.0505,19.79,0.3252,0.6065,0.1596,47.03,-3.52,-3.7,51.04,-5.7,-2.9,0.063,Yes,No,,
EnthermalPlus,C270 4mm / Vacuum 0.25mm / Clear 4mm / Argon 13.45mm / C270 4mm,25.4,4mm Clear,2027,LoE² 270 S2,Float Glass - 4mm,2002,,4mm Clear,2027,LoE² 270 S5,Ar90,0.2812,0.0495,20.19,0.3122,0.533,0.1518,45.92,-7.02,0.15,45.92,-7.02,0.15,0.0344,Yes,No,,
EnthermalPlus,C270 4mm / Vacuum 0.25mm / Clear 4mm / Argon 13.45mm / C272 4mm,25.4,4mm Clear,2027,LoE² 270 S2,Float Glass - 4mm,2002,,4 mm Clear,2012,LoE² 272 S5,Ar90,0.2825,0.0497,20.1,0.3199,0.55,0.1426,44.63,-4.08,-0.83,44.11,-5.39,0.24,0.0422,Yes,No,,
