cluster_id,code,distinct_colors,config_count,extL,extA,extB,max_dE_in_cluster,mean_dE_in_cluster,source,source_idx,stack_desc,stack_json
0,anchor_00,53,111,30.27,-0.14,-2.42,1.5458,0.6179,enthermal-plus-inboard.json,2034,SB60 Solargray 6mm / Ar90 8.05mm / SB60 Clear 6mm / Vacuum 0.25mm / Clear 6mm,"[{""type"":""glass"",""coating"":""SB60"",""substrate"":""Solargray"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":8.05},{""type"":""glass"",""coating"":""SB60"",""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6}]"
1,anchor_01,38,76,54.53,-1.6,-7.97,1.0342,0.5092,enthermal-plus-inboard.json,735,ZEN Clear 6mm / Ar90 11.35mm / Clear 4mm / Vacuum 0.25mm / C180 Clear 4mm,"[{""type"":""glass"",""coating"":""ZEN"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.35},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""C180"",""substrate"":""Clear"",""thickness"":4}]"
2,anchor_02,4,8,43.14,-10.71,-0.74,0.1225,0.0848,enthermal-plus-inboard.json,1492,SB70 Solexia 6mm / Ar90 10.09mm / Clear 5mm / Vacuum 0.25mm / C270 Clear 5mm,"[{""type"":""glass"",""coating"":""SB70"",""substrate"":""Solexia"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":10.09},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":5}]"
3,anchor_03,87,196,44.09,-6.1,-13.27,1.4174,0.6917,enthermal-plus-inboard.json,195,C340 Clear 5mm / Ar90 12.45mm / LUMI Clear 4mm / Vacuum 0.25mm / Clear 4mm,"[{""type"":""glass"",""coating"":""C340"",""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":12.45},{""type"":""glass"",""coating"":""LUMI"",""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4}]"
4,anchor_04,16,32,45.08,-0.49,-3.04,0.4497,0.2163,enthermal-plus-outboard.json,626,LUMI Clear 6mm / Vacuum 0.25mm / Clear 5mm / Ar90 9.45mm / C366 Clear 5mm,"[{""type"":""glass"",""coating"":""LUMI"",""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":9.45},{""type"":""glass"",""coating"":""C366"",""substrate"":""Clear"",""thickness"":5}]"
5,anchor_05,71,150,35.93,-3.36,-8.94,1.8437,1.1162,enthermal-plus-inboard.json,1338,SB70 Solarblue 6mm / Ar90 10.09mm / C270 Clear 5mm / Vacuum 0.25mm / Clear 5mm,"[{""type"":""glass"",""coating"":""SB70"",""substrate"":""Solarblue"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":10.09},{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5}]"
6,anchor_06,11,19,36.2,-4.11,-0.26,1.051,0.384,enthermal-plus-outboard.json,820,SB60 Optigray 6mm / Vacuum 0.25mm / Clear 6mm / Ar90 9.01mm / C270 Clear 5mm,"[{""type"":""glass"",""coating"":""SB60"",""substrate"":""Optigray"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":9.01},{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":5}]"
7,anchor_07,8,32,50.69,-5.87,-2.92,0.519,0.2872,enthermal-plus-inboard.json,1093,C180 Clear 5mm / Ar90 11.05mm / Clear 5mm / Vacuum 0.25mm / C270 Clear 5mm,"[{""type"":""glass"",""coating"":""C180"",""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.05},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":5}]"
8,anchor_08,18,36,48.19,-2.73,-8.85,1.4191,0.902,enthermal-plus-inboard.json,1372,SKN183 Clear 6mm / Ar90 9.75mm / C180 Clear 5mm / Vacuum 0.25mm / Clear 5mm,"[{""type"":""glass"",""coating"":""SKN183"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":9.75},{""type"":""glass"",""coating"":""C180"",""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5}]"
9,anchor_09,10,20,43.41,-5.95,-4.47,0.2983,0.1784,enthermal-plus-outboard.json,288,XTR6129 Clear 6mm / Vacuum 0.25mm / Clear 4mm / Ar90 11.25mm / C270 Clear 4mm,"[{""type"":""glass"",""coating"":""XTR6129"",""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.25},{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":4}]"
