blender_frame,anchor_code,cluster_id,substrate,config_count,target_extL,target_extA,target_extB,max_dE,build
1,anchor_00,0,Clear,6,37.01,-2.48,-2.52,0.2375,Q452 Clear 5mm / Vacuum 0.25mm / Clear 4mm
2,anchor_01,1,Clear,110,38.9,-3.46,-2.87,1.0717,Q452 Clear 6mm / Ar90 11.45mm / LUMI Clear 4mm / Vacuum 0.25mm / Clear 4mm
3,anchor_02,2,Clear,102,39.03,-4.06,-1.39,0.8984,Q452 Clear 6mm / Ar90 11.65mm / Clear 4mm / Vacuum 0.25mm / C272 Clear 4mm
4,anchor_03,3,Clear,12,39.43,-1.26,-2.48,0.8317,SB60 Clear 4mm / Vacuum 0.25mm / Clear 4mm
5,anchor_04,4,Clear,4,39.7,-2.04,-6.23,0.3401,XTR6129 Clear 6mm / Vacuum 0.25mm / Clear 4mm
6,anchor_05,5,Clear,12,39.84,-0.63,-3.66,0.5672,C366 Clear 4mm / Vacuum 0.25mm / Clear 4mm
7,anchor_06,6,Clear,32,40.0,-6.02,-0.85,0.2613,Q452 Clear 5mm / Ar90 12.65mm / Clear 4mm / Vacuum 0.25mm / C270 Clear 4mm
8,anchor_07,7,Clear,50,40.27,-5.03,-2.51,0.7524,Q452 Clear 6mm / Ar90 9.0mm / Clear 6mm / Vacuum 0.25mm / SB70 Clear 5mm
9,anchor_08,8,Clear,50,40.58,-4.17,-3.03,0.7443,Q452 Clear 6mm / Ar90 10.05mm / Clear 5mm / Vacuum 0.25mm / C180 Clear 5mm
10,anchor_09,9,Clear,3,41.37,-1.28,-8.27,0.1103,SKN183 Clear 6mm / Vacuum 0.25mm / Clear 5mm
11,anchor_10,10,Clear,28,41.56,-2.96,-2.04,0.8564,C270 Clear 4mm / Vacuum 0.25mm / Clear 4mm
12,anchor_11,11,Clear,262,42.1,-1.89,-2.89,1.2535,SB60 Clear 4mm / Ar90 13.34mm / SB60 Clear 4mm / Vacuum 0.25mm / Clear 4mm
13,anchor_12,12,Clear,96,42.41,-2.49,-6.14,1.057,XTR6129 Clear 6mm / Vacuum 0.25mm / Clear 6mm / Ar90 8.45mm / C366 Clear 5mm
14,anchor_13,13,Clear,40,42.53,-3.92,-6.38,1.244,XTR6129 Clear 6mm / Ar90 9.75mm / C270 Clear 5mm / Vacuum 0.25mm / Clear 5mm
15,anchor_14,14,Clear,4,42.6,-2.89,-8.9,0.0443,XTR6129 Clear 6mm / Ar90 7.15mm / SKN183 Clear 6mm / Vacuum 0.25mm / Clear 6mm
16,anchor_15,15,Clear,68,42.73,-0.82,-1.88,1.2762,C272 Clear 5mm / Ar90 11.05mm / Clear 5mm / Vacuum 0.25mm / C366 Clear 5mm
17,anchor_16,16,Clear,156,42.81,-2.81,-1.06,0.9959,SB60 Clear 5mm / Vacuum 0.25mm / Clear 4mm / Ar90 12.59mm / C272 Clear 4mm
